Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
34949878.088414467871	-113261666.463815525174	86342598.282469093800	37408932.732666209340	-18.931819437459	-20.239887463236	-8.854488686143
34950939.172721602023	-113281753.661949187517	86321120.812769323587	37399536.964416779578	-18.929825187007	-20.242231322228	-8.855260598305
34953061.341335870326	-113321921.720236957073	86278158.388810783625	37380742.962462097406	-18.925848220044	-20.246945581556	-8.856813774161
34955183.509950138628	-113362081.354816809297	86235185.922796532512	37361945.651132479310	-18.921886359019	-20.251695290823	-8.858379469915
34959427.847178667784	-113442375.478997856379	86149210.563225686550	37324340.993687003851	-18.914006645187	-20.261301341029	-8.861548661522
34963672.184407196939	-113522636.279831960797	86063194.129863992333	37286722.777503319085	-18.906183424864	-20.271050007178	-8.864768642139
34967916.521635726094	-113602863.991532340646	85977136.016350165009	37249090.786053769290	-18.898414075898	-20.280941776789	-8.868039861911
34976405.196092784405	-113763221.028727322817	85804892.313767880201	37173784.601973958313	-18.883026502822	-20.301156344118	-8.874737725204
34984893.870549842715	-113923448.241726562381	85632474.568717047572	37098420.673255920410	-18.867822962370	-20.321948018354	-8.881645475682
34993382.545006901026	-114083547.103908419609	85459877.872276023030	37022997.205613695085	-18.852782539609	-20.343319046907	-8.888766037356
35001871.219463959336	-114243518.911443576217	85287097.299488306046	36947512.381207779050	-18.837884402966	-20.365270962335	-8.896102035963
35018848.568378075957	-114563085.666219204664	84940964.780957728624	36796351.288111642003	-18.808432276393	-20.410920099188	-8.911429372943
35035825.917292192578	-114882155.370106339455	84594037.517884016037	36644922.475310668349	-18.779302830335	-20.458893985841	-8.927642650227
35052803.266206309199	-115200732.134374305606	84246276.128134846687	36493210.805303618312	-18.750335633606	-20.509180824651	-8.944752508985
35069780.615120425820	-115518817.380985006690	83897641.513080075383	36341200.997008591890	-18.721374424097	-20.561759113665	-8.962765250995
35086757.964034542441	-115836409.919626340270	83548095.016500338912	36188877.697658628225	-18.692267848581	-20.616598352040	-8.981683054384
35120712.661862775683	-116470099.597285807133	82846114.831055909395	35883229.259899094701	-18.633041398935	-20.732897175012	-9.022223414575
35154667.359691008925	-117101743.003183513880	82140040.417438790202	35576143.711557246745	-18.571564779232	-20.857682098244	-9.066318210056
35188622.057519242167	-117731246.713525444269	81429591.718572214246	35267502.006540991366	-18.506854052937	-20.990462934599	-9.113863198624
35222576.755347475410	-118358485.801915913820	80714506.595247253776	34957189.337914101779	-18.438038124336	-21.130678319923	-9.164714438048
