Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
3620400.866322683636	-118166480.462039604783	81311909.755720376968	35289239.892112277448	-17.660515904392	-22.556663384263	-9.802629139691
3622523.034936948214	-118203943.429950699210	81264037.772483676672	35268435.130660600960	-17.645794230178	-22.559429376004	-9.804445409363
3624645.203551212791	-118241375.178340882063	81216159.950566843152	35247626.528802886605	-17.631093652050	-22.562165961906	-9.806248466175
3628889.540779742412	-118316145.196740329266	81120387.039634868503	35205997.915865786374	-17.601756477618	-22.567551340648	-9.809815044048
3633133.878008272033	-118390790.881279125810	81024591.518540889025	35164354.276742123067	-17.572505766998	-22.572820378230	-9.813329082383
3637378.215236801654	-118465312.601876363158	80928773.879230558872	35122695.833974011242	-17.543342904046	-22.577973946644	-9.816790795757
3642174.996519868262	-118549385.344722047448	80820458.579749062657	35075597.576282076538	-17.510491673644	-22.583660427216	-9.820640379242
3646971.777802934870	-118633300.784723713994	80712116.351875379682	35028481.011945582926	-17.477756403597	-22.589201857976	-9.824423737873
3651768.559086001478	-118717059.482885584235	80603747.888210877776	34981346.457828961313	-17.445139081147	-22.594599565033	-9.828141207485
3656565.340369068086	-118800662.009734615684	80495353.874937430024	34934194.229163020849	-17.412641689486	-22.599854898940	-9.831793133400
3661362.121652134694	-118884108.945300519466	80386934.991699278355	34887024.639499112964	-17.380266207522	-22.604969235025	-9.835379870572
3666246.510546988808	-118968920.671472340822	80276511.104365304112	34838976.035183124244	-17.347426736137	-22.610033542328	-9.838965506911
3666246.510546988808	-118968920.671472340822	80276511.104365304112	34838976.035183131695	-17.349878111102	-22.615781149569	-9.840843956202
3666246.510554894339	-118968920.671609506011	80276511.104186505079	34838976.035105332732	-17.349878111049	-22.615781149577	-9.840843956208
3666246.510570705868	-118968920.671883836389	80276511.103828921914	34838976.034949734807	-17.349878110943	-22.615781149593	-9.840843956219
3666246.510602328461	-118968920.672432482243	80276511.103113740683	34838976.034638538957	-17.349878110731	-22.615781149625	-9.840843956242
3666246.510665574111	-118968920.673529788852	80276511.101683393121	34838976.034016147256	-17.349878110306	-22.615781149690	-9.840843956288
3666246.510792065412	-118968920.675724387169	80276511.098822697997	34838976.032771371305	-17.349878109458	-22.615781149819	-9.840843956380
3666246.511045047548	-118968920.680113598704	80276511.093101307750	34838976.030281811953	-17.349878107760	-22.615781150078	-9.840843956564
3666246.511551011819	-118968920.688892021775	80276511.081658527255	34838976.025302693248	-17.349878104365	-22.615781150595	-9.840843956932
3666246.512562940829	-118968920.706448867917	80276511.058772966266	34838976.015344455838	-17.349878097575	-22.615781151629	-9.840843957668
3666246.514586798381	-118968920.741562545300	80276511.013001844287	34838975.995427988470	-17.349878083995	-22.615781153698	-9.840843959140
3666246.518634513952	-118968920.811789914966	80276510.921459600329	34838975.955595053732	-17.349878056834	-22.615781157835	-9.840843962084
3666246.526729944628	-118968920.952244654298	80276510.738375112414	34838975.875929184258	-17.349878002513	-22.615781166110	-9.840843967971
