Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
1702659.039356761845	-74434713.767104387283	116141350.301231771708	50355298.211959786713	-25.210337712642	-13.418847399732	-5.928179303442
1702659.039372573141	-74434713.767502993345	116141350.301019594073	50355298.211866050959	-25.210337712618	-13.418847399769	-5.928179303458
1702659.039404195966	-74434713.768300220370	116141350.300595253706	50355298.211678586900	-25.210337712571	-13.418847399844	-5.928179303491
1702659.039467441617	-74434713.769894659519	116141350.299746572971	50355298.211303658783	-25.210337712475	-13.418847399995	-5.928179303557
1702659.039593932685	-74434713.773083537817	116141350.298049211502	50355298.210553795099	-25.210337712283	-13.418847400295	-5.928179303690
1702659.039846914820	-74434713.779461309314	116141350.294654488564	50355298.209054067731	-25.210337711899	-13.418847400896	-5.928179303955
1702659.040352879325	-74434713.792216837406	116141350.287865027785	50355298.206054620445	-25.210337711131	-13.418847402098	-5.928179304485
1702659.041364808101	-74434713.817727908492	116141350.274286106229	50355298.200055725873	-25.210337709596	-13.418847404502	-5.928179305544
1702659.043388665887	-74434713.868750050664	116141350.247128263116	50355298.188057936728	-25.210337706526	-13.418847409309	-5.928179307663
1702659.047436381225	-74434713.970794320107	116141350.192812591791	50355298.164062350988	-25.210337700386	-13.418847418924	-5.928179311901
1702659.055531812133	-74434714.174882858992	116141350.084181234241	50355298.116071186960	-25.210337688105	-13.418847438155	-5.928179320378
1702659.071722673718	-74434714.583059951663	116141349.866918534040	50355298.020088858902	-25.210337663544	-13.418847476615	-5.928179337331
1702659.104104396887	-74434715.399414122105	116141349.432393133640	50355297.828124195337	-25.210337614421	-13.418847553537	-5.928179371237
1702659.168867843458	-74434717.032122462988	116141348.563342317939	50355297.444194868207	-25.210337516175	-13.418847707379	-5.928179439049
1702659.298394736368	-74434720.297539144754	116141346.825240641832	50355296.676336199045	-25.210337319685	-13.418848015064	-5.928179574673
1702659.557448522188	-74434726.828372418880	116141343.349037185311	50355295.140618801117	-25.210336926703	-13.418848630434	-5.928179845921
1702660.075556094060	-74434739.890038669109	116141336.396629780531	50355292.069183796644	-25.210336140742	-13.418849861174	-5.928180388417
1702661.111771237804	-74434766.013369947672	116141322.491813063622	50355285.926312938333	-25.210334568825	-13.418852322660	-5.928181473409
1702663.184201525059	-74434818.260027602315	116141294.682171985507	50355273.640567854047	-25.210331425013	-13.418857245644	-5.928183643398
1702667.329062099801	-74434922.753323376179	116141239.062859222293	50355249.069064199924	-25.210325137480	-13.418867091672	-5.928187983387
1702675.618783249287	-74435131.739836737514	116141127.824111267924	50355199.926002919674	-25.210312562775	-13.418886783958	-5.928196663417
1702692.198225548258	-74435549.712550744414	116140905.346125617623	50355101.639664493501	-25.210287414812	-13.418926169459	-5.928214023678
1702725.357110146200	-74436385.656728014350	116140460.388195306063	50354905.066124156117	-25.210237124670	-13.419004944172	-5.928248745010
1702791.674879342085	-74438057.540080487728	116139570.464498028159	50354511.915589421988	-25.210136567518	-13.419162508447	-5.928318190907
1702868.996250819648	-74440006.817883610725	116138532.869345739484	50354053.526765875518	-25.210019364622	-13.419346241167	-5.928399164882
1702946.317622297211	-74441956.086626067758	116137495.259985938668	50353595.131681084633	-25.209902203641	-13.419530000819	-5.928480144730
1703023.638993774774	-74443905.346311092377	116136457.636416554451	50353136.730334594846	-25.209785084563	-13.419713787414	-5.928561130453
1703100.960365252336	-74445854.596941933036	116135419.998635485768	50352678.322725944221	-25.209668007381	-13.419897600964	-5.928642122059
1703178.281736729899	-74447803.838521823287	116134382.346640661359	50352219.908854685724	-25.209550972086	-13.420081441480	-5.928723119551
1703255.603108207462	-74449753.071053996682	116133344.680429995060	50351761.488720364869	-25.209433978668	-13.420265308974	-5.928804122935
1703332.924479685025	-74451702.294541701674	116132307.000001400709	50351303.062322519720	-25.209317027118	-13.420449203455	-5.928885132215
1703410.245851162588	-74453651.508988171816	116131269.305352792144	50350844.629660703242	-25.209200117428	-13.420633124937	-5.928966147396
1703432.253063630778	-74454206.292845249176	116130973.954052090645	50350714.149389244616	-25.209166850238	-13.420685477616	-5.928989207021
1703432.253063630778	-74454206.292845129967	116130973.954052627087	50350714.149389415979	-25.209202393796	-13.422465349564	-5.929647770892
1703432.253071536543	-74454206.293044432998	116130973.953946515918	50350714.149342536926	-25.209202393784	-13.422465349583	-5.929647770901
1703432.253087347839	-74454206.293443024158	116130973.953734293580	50350714.149248778820	-25.209202393760	-13.422465349620	-5.929647770917
1703432.253118970664	-74454206.294240206480	116130973.953309834003	50350714.149061270058	-25.209202393712	-13.422465349696	-5.929647770950
1703432.253182216315	-74454206.295834571123	116130973.952460929751	50350714.148686245084	-25.209202393616	-13.422465349846	-5.929647771017
1703432.253308707383	-74454206.299023315310	116130973.950763106346	50350714.147936195135	-25.209202393425	-13.422465350147	-5.929647771149
1703432.253561689518	-74454206.305400788784	116130973.947367459536	50350714.146436102688	-25.209202393043	-13.422465350749	-5.929647771414
1703432.254067654023	-74454206.318155750632	116130973.940576165915	50350714.143435910344	-25.209202392278	-13.422465351952	-5.929647771944
1703432.255079582799	-74454206.343665674329	116130973.926993578672	50350714.137435525656	-25.209202390748	-13.422465354360	-5.929647773005
1703432.257103440585	-74454206.394685506821	116130973.899828419089	50350714.125434763730	-25.209202387689	-13.422465359174	-5.929647775125
1703432.261151155923	-74454206.496725186706	116130973.845498099923	50350714.101433239877	-25.209202381571	-13.422465368804	-5.929647779367
1703432.269246586831	-74454206.700804546475	116130973.736837461591	50350714.053430184722	-25.209202369334	-13.422465388062	-5.929647787849
1703432.285437448416	-74454207.108963251114	116130973.519516184926	50350713.957424074411	-25.209202344860	-13.422465426579	-5.929647804815
1703432.317819171585	-74454207.925280660391	116130973.084873616695	50350713.765411861241	-25.209202295913	-13.422465503613	-5.929647838745
1703432.382582618156	-74454209.557915478945	116130972.215588480234	50350713.381387427449	-25.209202198018	-13.422465657681	-5.929647906607
1703432.512109511066	-74454212.823185101151	116130970.477018192410	50350712.613338552415	-25.209202002229	-13.422465965818	-5.929648042329
1703432.771163296886	-74454219.353724271059	116130966.999877482653	50350711.077240742743	-25.209201610651	-13.422466582091	-5.929648313774
1703433.289270868758	-74454232.414802297950	116130960.045595601201	50350708.005044914782	-25.209200827497	-13.422467814638	-5.929648856664
1703434.325486012502	-74454258.536957144737	116130946.137029916048	50350701.860652409494	-25.209199261194	-13.422470279736	-5.929649942445
1703436.397916299757	-74454310.781261965632	116130918.319890871644	50350689.571864023805	-25.209196128611	-13.422475209946	-5.929652114011
